ID,FORM,XPOSTAG,NER
1,2(disz),NU,O
1,sag-x,NE,PN
2,giri3,N,O
2,{d}nanna-ag2,NE,PN
3,mu,N,O
3,us2-sa,V,O
3,gi-sza{ki},NE,GN
3,ba-hul,V,O
4,2(disz),NU,O
4,e2-gissu-gar,NE,PN
4,dumu,N,O
4,lu2-eme,NE,PN
5,ugula,N,O
5,sanga,N,O
5,e2-mah-da,NE,TN
6,ARAD2-gi4-sal4-la{ki},NE,PN
7,giri3,N,O
7,ur-x-x-a,NE,PN
8,n,NU,O
8,n(barig),N,O
8,1(ban2),N,O
8,gur,N,O
8,ki,N,O
8,nin-in-nu-tuku,NE,PN
9,dumu,N,O
9,i3-da-ga-na,NE,PN
10,mu,N,O
10,us2-sa,V,O
10,ur-{d}pa-bil3,NE,PN
10,{d}inanna,NE,DN
10,ba-hun,V,O
11,ur-{d}x-x,NE,PN
11,x-musz,O,O
12,2(asz),NU,O
12,2(barig),N,O
12,2(ban2),N,O
12,gur,N,O
12,ki,N,O
12,sza3-kal-la,NE,PN
12,ur-am-ma,NE,PN
13,1(bur3),N,O
13,GAN2,N,O
13,a-a-ki-da,NE,PN
14,1(ban2),N,O
14,5(disz),NU,O
14,nu,V,O
14,lugal-esz2-mah,NE,PN
14,x,N,O
15,szunigin,N,O
15,1(gesz2),NU,O
15,3(u),NU,O
15,2(disz),NU,O
15,gu4,N,O
16,i3-ba,N,O
16,ku3-{d}nin-ur4,NE,PN
17,4(asz),NU,O
17,gu2,N,O
17,2(u),NU,O
17,5(disz),NU,O
17,ma-na,N,O
17,siki-ud5,N,O
18,3(asz),NU,O
18,gur,N,O
19,giri3,N,O
19,nin-ga2-ne-ka,NE,PN
20,2(barig),N,O
20,3(ban2),N,O
20,ab-ba-saga,NE,PN
21,dumu,N,O
21,e2-DU,NE,PN
22,nig2-ka9-ak,N,O
22,ARAD2-x-en,NE,PN
23,szunigin,N,O
23,2(disz),NU,O
23,5/6(disz),NU,O
23,ma-na,N,O
23,1/2(disz),NU,O
23,gin2,N,O
23,4(disz),NU,O
23,sze,N,O
23,ku3-babbar,N,O
24,ugu2,N,O
24,a-bi2-dim2,NE,PN
24,dumu,N,O
24,a-bu-ha-du,NE,PN
24,ga2-ga2-dam,V,O
25,ki,N,O
25,ur-{d}szu4-gan-na,NE,PN
26,lu2,N,O
26,e2,N,O
26,lugal-x-x-usz,NE,DN
27,...,O,O
27,lu2-{d}ga,NE,PN
28,dumu,N,O
28,lugal-e2-bu,NE,PN
29,|PU3.SZA|-ha-mi,NE,PN
30,szunigin,N,O
30,...,O,O
31,e2-duru5-nin-si-ga,NE,FN
31,gub-ba,V,O
32,ki,N,O
32,zi-du,NE,PN
33,i3-ba,NE,PN
34,mu,N,O
34,us2-sa,V,O
34,lagasz{ki}-ka,NE,GN
34,ba-hul,V,O
35,lugal,N,O
35,szimaszki{ki},NE,GN
35,szu-ru-ud-hu-um{ki},NE,GN
36,hi-ab-ra-du,NE,PN
36,szabra,N,O
37,...,O,O
37,gur-TUL2,NE,PN
37,dumu-ni,N,O
38,ugula,N,O
38,ur-du6-hi-li-ba,NE,PN
39,na-bi2-a,NE,PN
40,ku-ru-ub-e2-a,NE,PN
41,1(disz),NU,O
41,lugal-sa,NE,PN
42,a-sza3,N,O
42,GA2-e2-gal{ki},NE,FN
42,i7,N,O
42,nun-ta,N,O
42,ka,N,O
42,ki-sal4-mu,NE,WN
43,nig2-gur11,N,O
43,ti-bi-a-kul,NE,PN
44,ku3-bi,N,O
44,2/3(disz),NU,O
44,gin2,N,O
45,{d}mes-lam-tesz2,NE,PN
46,4(u),NU,O
46,5(disz),NU,O
46,gurusz,N,O
46,u4,N,O
46,1(disz)-sze3,NU,O
46,a2,N,O
46,nin9-tesz2-tesz2-ka,NE,PN
46,sze,N,O
46,ba-a,V,O
47,ki,N,O
47,bi2-du11-ga-ta,NE,PN
48,i7-da-i3-sa6,NE,PN
49,me-wu-zu,NE,PN
50,3(disz),NU,O
50,pu3-...,NE,PN
51,3(disz),NU,O
51,amar-lu2-ku,NE,PN
52,ki,N,O
52,an-ne2-ba-du2,NE,PN
53,ur-ki-siki,NE,PN
53,ka-guru7,N,O
54,ab-ba-gi-na,NE,PN
54,si-ti-ir-sza{ki},NE,GN
55,kiszib3,N,O
55,e-bu-gu,NE,PN
56,kiszib3,N,O
56,lu2-en-unu{ki},NE,PN
57,1(barig),N,O
57,sze-ba,N,O
57,giri3-ni-mah,NE,PN
58,{d}ba-ba6-ku3,NE,PN
59,gu2,N,O
59,i7,N,O
