Text,NER
Adab,QN
Akhetaten,QN
Alalakh,QN
Amman,QN
Anat,QN
Anshan,QN
Arad,QN
Arpad,QN
Arrapha,QN
Arwad,QN
Ashqelon,QN
Assur,QN
Azamhul?,QN
Azatiwadaya,QN
Babylon,QN
Bad-Tibira,QN
Beersheva,QN
Beth Shean,QN
Bisitun,QN
Borsippa,QN
Burmarina,QN
Damaskus,QN
Dan,QN
Der,QN
Diban,QN
Dilbat,QN
Doura Europos,QN
Dunnu-sha-Uzibi,QN
Dur-abi-ešuh,QN
Dur-Assur-ketti-lešer,QN
Magdala,QN
Dur-Katlimmu,QN
Dur-Kurigalzu,QN
Dur-Sharrukin,QN
Dur-Untash,QN
Ebla,QN
Ekalte,QN
Elephantine,QN
Emar,QN
Erbil,QN
Erebuni,QN
Eridu,QN
Eshnunna,QN
Nuzi,QN
Gasur,QN
Gezer,QN
Gibala,QN
Girsu,QN
Girumu,QN
Gordion,QN
Gubla,QN
Guzana,QN
Hadatu,QN
Halab,QN
Hama,QN
Hamadan,QN
Harbe,QN
Harran,QN
Hatra,QN
Hattusa,QN
Hazor,QN
Hursagkalama,QN
Huzirina,QN
Imgur-Enlil,QN
Irqata,QN
Isin,QN
Itu'u,QN
Jericho,QN
Jerusalem,QN
Kabnak,QN
Kahat,QN
Kalhu,QN
Kanesh/Nesha,QN
Karkemish,QN
Kar-Mullissi,QN
Kar-Tukulti-Ninurta,QN
Kilizu,QN
Kish,QN
Kissik/Duru?,QN
Kisurra,QN
Ktesiphon,QN
Kumidu,QN
Kullania,QN
Kurruhanni,QN
Kutallu,QN
Kutha,QN
Lachish,QN
Lagash,QN
Larak,QN
Larsa,QN
Marad,QN
Mari,QN
Marib,QN
Mashkan-shapir,QN
Megiddo,QN
Melid,QN
Muṣaṣir?,QN
Nabula,QN
Nagar,QN
Nereb,QN
Nerebtum,QN
Nina,QN
Nineveh,QN
Nippur,QN
Pasargadae,QN
Persepolis,QN
Petra,QN
Puzriš-Dagan,QN
Qadesh,QN
Qarqar,QN
Qatara,QN
Qatna,QN
Rusahinili,QN
Sardes,QN
Sardurihinili,QN
Samal,QN
Samaria,QN
Sarissa,QN
Seleukia,QN
Shadikanni,QN
Shaduppûm,QN
Shekhna/Shubat-Enlil,QN
Shibaniba,QN
Shuruppak,QN
Sidon,QN
Sikanu,QN
Sippar-dūrim,QN
Sippar-ṣērim,QN
Shuksu,QN
Sumur,QN
Susa,QN
Tadmur / Palmyra,QN
Taidu?,QN
Taʿnak,QN
Tarbişu,QN
Tayma,QN
Teishebai URU,QN
Terqa,QN
Til Barsip,QN
Troy / Wilusa,QN
Tuba?,QN
Tushhan,QN
Tushpa,QN
Tuttul,QN
Tutub,QN
Tyre,QN
Ugarit,QN
Ukhaidir,QN
Umma,QN
Ur,QN
Urkesh,QN
Uruk,QN
Uskaf,QN
Wasit,QN
Zabalam,QN
Zaralulu,QN
