,Text,NER
0, 'szitim-ba-dim2',FN
1, 'din',PN
2, 'nun',DN
3, '({d}nin)-szubur',DN
4, 'esz18-dar',DN
5, 'hal-an-ku3',TN
6, 'ir3',PN
7, 'irhan',DN
8, 'su-bir4{ki}',GN
9, 'szerszeri',DN
10, 'an-ne2-ba-du7',PN
11, 'ur-sukkal',PN|FN
12, 'a-kal-la',PN
13, 'ARAD2-{d}szara2',PN
14, 'lugal-uszurx(|LAL2.TUG2|)',PN|FN
15, 'lu2-bala-sag10',PN
16, 'lu2-dingir',PN
17, 'lu2-giri17-zal',PN|FN
18, 'lugal-ezem',PN|FN
19, 'anzu2{muszen}-babbar2',PN
20, 'sukkal',PN
21, 'ur-gu-la',PN
22, 'ur-nigar{gar}',PN|FN
23, 'ur-{d}dumu-zi-da',PN
24, 'ur-{d}ig-alim',PN|FN
25, 'ur-{gesz}gigir',PN
26, 'lu2-kal-la',PN|FN
27, 'ba-sa6',PN
28, '{d}li9-si4',DN
29, 'ur-{d}nin-gesz-zi-da',PN
30, 'ug3',PN
31, 'a-hu-um-dingir',PN
32, 'a-na-da-hul',PN
33, 'a2-bi2-li2-a',PN
34, 'a2-zi-da',PN
35, 'ab-ba-gi-na',PN
36, 'ad-da-gu-la',PN
37, 'amar-szuba',PN
38, 'szandana',DN
39, 'AN-sipa',PN
40, 'ARAD2-mu',PN
41, 'dingir-dan',PN
42, 'e2',PN
43, 'en-um-i3-li2',PN|FN
44, 'er3-dam',PN
45, 'a-sza3',FN
46, 'geme2-tur3',PN
47, 'geme2-{d}nin-mug',PN
48, 'gin2',PN
49, 'ha-ba-lu5-ge2',PN
50, 'ha-la-ni',PN
51, 'ha-la-{d}suen',PN
52, 'dumu',PN
53, 'hu-da-mu',PN
54, 'inim-{d}inanna',PN
55, 'muhaldim',DN
56, 'iri-ki-bi',PN
57, 'ur-{d}en-ki',PN
58, 'ku-ru-ub-er3',PN
59, 'ku5-da',PN
60, 'lam-lam-ma',PN
61, 'lu2-...',PN
62, 'lu2-gu-la',PN
63, 'lu2-pa3-da',PN
64, 'lu2-{d}...',PN
65, 'lu2-{d}ba-ba6',PN
66, 'lu2-{d}nin-gir2-su',PN
67, 'lu2-{d}szara2',PN
68, 'lu2-{d}utu',PN
69, 'lugal-kun',PN
70, 'lugal-me-a',PN
71, 'lugal-siki-su13',PN
72, 'ma-an-sum',PN
73, 'sila3',PN
74, 'ur-mes',PN|FN
75, 'unu3',DN
76, 'sze',PN
77, 'szesz-kal-la',PN
78, 'szu-da-da',PN
79, 'szu-esz18-dar',PN|FN
80, 'szu-ku8-ub',PN
81, 'szu-la-lum',PN
82, 'szu-{d}utu',PN
83, 'tu-ra-am-i3-li2',PN
84, 'niga',DN
85, 'ur-e-la',PN
86, 'ur-...',PN
87, 'ur-e2-mah',PN
88, 'ur-lugal',PN
89, 'ur-pu2-sag',PN
90, 'ur-sze-il2-la',PN
91, 'ur-{d}a-szar2',PN
92, 'ur-{d}ba-ba6',PN
93, 'ur-{d}gilgamesx(|BIL3.GA.MES|)',PN
94, 'ur-{d}hendur-sag',PN
95, 'ur-{d}isztaran',PN
96, 'ur-{d}lamma',PN
97, 'ur-{d}nansze',RN
98, 'ur-{d}nin-mar{ki}',PN
99, 'ur-{d}nin-mu2',PN
100, 'ur-{d}saman4',PN
101, 'ur-{d}si4-an-na',PN
102, 'ur-{d}suen',PN
103, 'ur-{d}szakkan',PN
104, 'ur-{d}szul-pa-e3',PN
105, 'ur-{d}szusz3-{d}ba-ba6',PN
106, 'ur3-re-ba-du7',PN
107, 'zu-la-lum',PN
108, '{d}iszkur-ba-ni',PN
109, '{d}nin-mar{ki}-ka',DN
110, '{d}nin-du6-hul2-{d}utu',PN
111, '{d}utu-ba-ni',PN
112, '{d}utu-bar',PN
113, '{d}utu-di-de3',PN
114, '|PU3.SZA|-ab-u2',PN
115, 'kiszib3',GN
116, 'geme2-{d}ig-alim',PN
117, 'lu2-{d}nin-szubur',PN
118, 'a-al-li2',PN
119, 'ARAD2-{d}nanna',PN
120, 'ur-esz3-ku3-ga',PN
121, '{d}ba-ba6-palil',PN
122, 'nu-ur2-{d}suen',PN
123, 'na-silim',PN
124, 'ur-{d}ma-mi',PN
125, 'ab-ba-gu',PN
126, 'an-GAG',PN
127, 'gu-du-du',PN
128, 'ur-sag10-mu',PN
129, 'lugal-masz-...',PN
130, 'ma-an-gu-ul',PN
131, 'nin-mu-sze3-igi-mu',PN
132, '{d}lamma-igi-du',PN
133, 'gar3-szum{ki}',GN
134, 'i3-li2-mu',PN
135, 'in-ta-e3-a',PN
136, '{d}szu-{d}suen',RN|TN|MN
137, 'lu2-me-lam2',PN
138, 'ab-ba',PN
139, 'a2-x',PN
140, 'lu2-tur-tur',PN
141, 'ur-sag10',PN
142, 'an-na',DN
143, '{d}en-ki',DN
144, '{d}nansze-kam',PN
145, 'lugal-me-lam2',PN
146, 'nig2-lagar',PN
147, 'lugal-mas-su2',PN
148, 'ur-szu-ga-lam-ma',PN
149, 'ur-{d}ga2-tum3-du10-x',PN
150, 'a-lu5-lu5',PN
151, 'ur-PA-al',PN
152, 'lugal-gaba',PN|FN
153, '{d}szul-gi-zi-mu',PN
154, 'geme2-esz3-ku3-ga',PN
155, 'geme2-li',PN
156, '{d}ba-ba6',DN
157, 'nin-tug2-mah',PN|FN
158, 'sa6-sa6-ga',PN
159, '{d}inanna-tesz2',PN
160, 'u2-x',PN
161, 'ba-a-mu',PN
162, 'da-da-a',PN
163, 'DU-a',GN
164, 'KA-...',PN|FN
165, 'a-bi2-a-li2',PN
166, 'ur-du6-es3-sa2',PN
167, 'ur-{d}nin-su',PN
168, 'a-na-asz-du',FN
169, 'nin-sag-gal',FN
170, 'a-ba-gal',FN
171, 'du10-ga-mu',PN
172, 'ambar-sur',FN
173, 'a2-nin-ga2',PN
174, 'ama-kal-la',PN
175, 'lugal-nesag2',PN
176, 'ba-zi',PN
177, '{d}szul-pa-e3',DN
178, 'bi2-du11-ga',PN
179, 'ur-ku3-nun',PN
180, '{d}nin-sun2',DN|FN
181, 'e2-babbar2',TN
182, 'geme2-eb-gal',PN
183, 'ga-ti',PN
184, 'geme2-{d}isztaran',PN
185, 'lugal-a-i3-sa6',PN
186, 'geme2-{d}li9-si4',PN
187, 'geme2-{d}suen',PN
188, 'geme2-{d}szara2',PN
189, 'giri3-i3-sa6',PN
190, 'giri3-ni',PN
191, 'gu-za-ni',PN
192, 'gu2-u3-mu',PN
193, 'ur-nigar',PN
194, 'a-x-ba',PN
195, 'e2-ki-bi',PN
196, 'lugal-ma2-gur8-re',PN
197, 'a-hu-ma',PN
198, 'gur4-za-an',PN
199, 'lu2-sag10',PN
200, 'nam-ha-ni',PN
201, 'ur-dingir',PN
202, 'ur-{d}iszkur',PN
203, 'lu2-bala',PN
204, 'lugal-engar',PN
205, 'lugal-{d}nin-ur3',PN
206, 'nin-ma-a-DU',PN
207, '{d}nin-szubur',DN|FN
208, 'nin-ga2',PN
209, 'da-ba-ka',PN
210, 'ur-gu2-de3-na',PN
211, 'ur-{d}en-lil2-la2',PN
212, 'hal-la-a',PN
213, 'ki-masz{ki}',GN
214, 'ha-la',PN
215, 'da-a-ga',PN
216, 'lu2-{d}na-ru2-a',PN
217, 'lugal-erin2',PN
218, 'ki-tusz-lu2',PN
219, 'al-ba-ni-du10',PN
220, 'al-la',PN
221, 'lu2-gesztin',PN
222, 'lugal-e-ba-an-sa6',PN
223, 'szesz-du10-ga',PN
224, 'lugal-uszur4',PN
225, 'inim-{d}szara2',PN
226, 'lu2-gi-na',PN
227, 'lu2-ma2-gu-la',PN
228, 'du-du',PN
229, 'lu2-{d}pa-DU-sag3-ga',PN
230, 'lu2-{d}suen',PN
231, 'lu2-{d}szul-sza3-ga-na',PN
232, 'lugal-a2-zi-da',PN
233, 'lugal-iti-da',PN
234, 'lugal-i3-sa6',PN
235, 'lugal-igi-husz',PN
236, 'lugal-sa6-ga',PN
237, 'lugal-u2-szim',PN
238, 'na-ba-sa6',PN
239, 'nam-nin-a-ni-du10',PN
240, 'ni-gu-tur',PN
241, 'ki-sal4-la',WN
242, 'nin-pirig-tur',PN
243, 'nin-za3-ge-si',PN
244, 'nu-ur2-ma',PN
245, '{d}nin-urta',DN
246, 'a-gu-na',PN
247, 'ur-{d}...',PN
248, 'sza3-da',PN
249, 'lu2-sukkal-an-ka',PN
250, 'sza3-gu4',PN
251, 'ur-{d}nun-gal',PN
252, 'ur-gu2-edin-na',PN
253, 'ur-im-nun',PN
254, 'ur-ki-gu-la',PN
255, 'ur-x',PN
256, 'ur-i7-idigna',PN
257, 'ur-{d}kal-kal',PN
258, 'ur-gar',PN
259, 'ur-{d}li9-si4',PN
260, 'ur-{d}nin-gir2-su',PN|FN
261, 'ur-{d}nin-zu',PN
262, '{d}e2-la2-an-na',DN
263, '{d}gesz-bar-e3',DN
264, '{d}lamma-lu2-sa6-sa6',PN
265, '{d}lugal-gesz-gi-banda3{da}',PN
266, '{d}szul-gi',RN
267, 'a-ad-da',PN|FN
268, 'e-zu',PN
269, 'nibru{ki}',GN|FN
270, 'ur-{d}bil3-ga-mes',PN
271, 'gu3-de2-a',RN
272, 'ma-an-ba',PN
273, 'a-ra-ab-ba',PN
274, 'da-an-si',PN
275, 'lugal-x-x-x',PN
276, 'ur-{d}bil3',PN
277, 'ur-{d}utu',PN
278, '{d}szara2-i3-sa6-x-x',PN
279, '{d}x-nu-ur2',PN
280, 'gu2-gil',PN
281, 'ur-li',PN
282, 'ur-sa6-ga',PN
283, 'unu{ki}',GN
284, 'lu2-mu-...',PN
285, 'lu2-ni-mu-zu',PN
286, 'ur-{d}sza-u18-sza',PN
287, 'lugal-mu-szi-gur',PN
288, 'bar-iri',PN
289, 'ur-ma-ma',PN|FN
290, 'lu2-{d}nin-ur4-ra',PN
291, 'gub-ba-ni-du10',PN
292, 'sag-nin-e-zu',PN
293, 'nin-zi-sza3-gal2',PN
294, 'geme2-bara2-si-ga',PN
295, 'geme2-sa6-ga',PN
296, 'geme2-{d}dumu-zi',PN
297, 'geme2-{d}na-ru2-a',PN
298, 'nin-arhusz-su3',PN
299, 'nin-e2-gal-szesz',PN
300, 'nin-ezem',PN
301, 'nin-he2-gal2',PN
302, 'nin-ku3-zu',PN
303, 'nin-x-ni-szu',PN
304, 'nin-x-x',PN
305, 'nin-...',PN|FN
306, 'geme2-lugal',PN
307, 'u2-u2',PN
308, 'be-li2-du10',PN
309, '{d}ba-ba6-i3-sa6',PN
310, 'geme2-ki-siki-ka',PN
311, 'geme2-{d}lamma',PN
312, 'i7-pa-e3',PN
313, 'lugal-...-a',PN
314, 'i3-li2-ba-asz-ti',PN
315, 'isz-bu-ga-ru',PN
316, 'ku3-sa',PN
317, 'lu2-eb-gal',PN
318, 'lugal-a2-dah',PN
319, 'lugal-gesz-uszur4',PN
320, 'lugal-uszum:gal',PN
321, 'lugal-...',PN
322, 'nam-mah-{d}nin-mar{ki}',PN
323, 'nin-en-kusz2',PN
324, 'nin-mu-igi-mu',PN
325, 'uri5{ki}-ma',GN
326, 'x-a',DN
327, '{d}...',DN
328, 'i3-x',PN
329, '{d}amar-{d}suen',RN
330, 'asz3-nun-na',FN
331, 'ur-me-at',PN
332, 'lu2-du10-ga',PN
333, 'ur-{d}szara2',PN
334, 'ka5-a-mu',PN
335, 'lugal-iri-da',PN|FN
336, 'ur-tir',PN
337, 'ab-ba-kal-la',PN
338, 'ad-da-kal-la',PN
339, 'e2-an-na',TN
340, 'e2-zi-sza3-gal2',PN
341, 'a-du-du',PN
342, 'la-a-mu',PN
343, 'dingir-su-ra-bi2',PN
344, 'hu-wa-wa',PN
345, 'i-din-a-szur5',PN
346, 'i-din-dingir',PN
347, 'inim-ma-ni-zi',PN
348, 'kal-i3-li2',PN
349, 'al-lu',PN
350, 'lugal-e2-mah',PN
351, 'ma-asz2-tum',PN
352, 'u3-ma-ni',PN
353, 'ur-dun',PN
354, '|PU3.SZA|-{d}suen',PN
355, 'lu2-{d}igi-ma',PN
356, 'a-tu',PN
357, 'ur-{d}gesztin-an-ka',PN
358, 'lugal-{gesz}gigir-gigir-re',PN
359, 'lugal-{gesz}gigir-re',PN
360, 'musz-lah5',PN
361, 'mu-ni',PN
362, 'SI-A-a',PN
363, 'kar',PN|PN
364, '{d}ga2-tum3-du10',DN
365, 'ur-ama-na',PN
366, 'ur-e2-nun',PN
367, 'nu-ur2-zu',PN
368, '{d}nin-gir2-su-i3-sa6',PN
369, 'ama-ra-ki-ag2-hu-rim3{ki}-x',FN
370, 'ARAD2-e-ne',PN
371, 'amar-ku5',PN
372, 'iri-ki',PN
373, 'ur-{d}x',PN
374, 'a-bu-um-i3-li2',PN
375, 'ga2-nun-gi-hu-ru-mu',FN
376, 'u3-i7-idigna',FN
377, 'ad-da',PN|FN
378, 'an-ne2-zu',PN
379, 'bu3-gi-ha',PN
380, 'e2-lu2-bi-su2',PN
381, 'a-gu-du',PN
382, 'da-du-mu',PN
383, 'na-u2-a',PN
384, 'gin2-la2',PN
385, 'lugal-nig2-lagar',PN
386, 'lugal-sza3-la2',PN
387, 'lugal-amar-ku3',PN
388, 'du-u2-du-ni',PN
389, '|PU3.SZA|-SIG4-NI',PN
390, 'hi-li2',PN
391, 'inim-sa6',PN
392, 'lu2-{d}ab-u2',PN
393, 'ur-ba-gara2',PN
394, 'lu2-ma2-gur8-re',PN
395, 'lu2-sa6-ga',PN
396, 'lugal-an-dul3',PN
397, 'lugal-kesz{ki}',PN
398, 'nig2-u2-rum',PN
399, 'si-mu-ru-um',GN
400, 'sukkal-di-de3',PN
401, 'sza-at-{d}ma-mi',PN
402, 'ad-da-ha-ma-ti',PN
403, 'im-ti-dam',PN
404, 'sahar-zi-zi',PN
405, 'si-sa2',WN
406, '{d}nansze',DN
407, 'x',DN
408, 'e2-gal-e-si',PN
409, 'u-bar-um',PN
410, 'ur-bara2-si-ga',PN
411, 'ur-i7-de3-na',PN
412, 'ur-ki',PN
413, 'ur-tur',PN
414, 'ur-{d}nin-sun2',PN
415, 'zi-ga',PN
416, 'szu-{d}suen',RN
417, 'ur-nig2',PN
418, '{d}amar-{d}suen-si-sa2',PN
419, '{d}amar-{d}suen-zi-mu',PN
420, '{d}amar-{d}suen-{d}utu-mu',PN
421, 'a-{d}amar-{d}suen-zi-sza3-gal2',PN
422, 'lu2-x-...',PN
423, 'ma-at-i3-li2',PN
424, 'nin-ki-ur5-sa6',PN
425, 'ki-lu5-la',PN
426, 'he2-lah5',PN
427, 'lugal-x',PN
428, 'geme2-{d}ba-ba6',PN
429, 'igi-ni-da-a',PN
430, 'ku3-{d}ba-ba6',PN|FN
431, 'nin-{d}szul-gi',PN
432, '{d}szara2-i3-zu',PN
433, '{d}szul-gi-bad3-kalam-ma',PN
434, '{d}szul-gi-kalam-ma-hi-li-bi',PN
435, 'a-a-gi-na',PN
436, 'a-hu-...',PN
437, '{d}szara2-kam',PN
438, 'e2-mah-ki-du10',PN
439, 'geme2-dub-szen',PN
440, 'geme2-{d}lugal-zi-da',PN
441, 'ur2-ra-ni',PN
442, 'lu2-lugal',PN
443, 'lugal-he2-gal2',PN
444, 'masz-gu-la',PN
445, 'i3-kal-la',PN
446, 'ku3-{d}szara2',PN
447, 'lu2-ti-ni-mu-zu',PN
448, 'lugal-ha-ma-ti',PN|FN
449, 'lugal-nam-...',PN
450, 'lugal-za3-ge-si',RN
451, 'gir2-su{ki}',GN
452, 'nam-tar-ib2-gu-ul',PN
453, 'nin-ib2-ta-e3',PN
454, 'nin-szu-gi4-gi4',PN
455, 'nin-x-ba-na',PN
456, 'szu-...',PN
457, 'lugal-a2-ga2',PN
458, 'ur-{d}szul-gi',PN|FN
459, '{d}szul-gi-a2-kalam-ma',PN
460, '{d}szul-gi-bad3',PN
461, '{d}szul-gi-he2-gal2',PN|FN
462, '{d}szul-gi-ka-silim-ma',PN
463, '{d}szul-gi-ki-ur5-sa6',PN
464, '{d}szul-gi-me-te-iri-na',PN
465, '{d}szul-gi-nu-zi-sza3-gal2',PN
466, '{d}szul-gi-ra-kam',PN
467, '{d}szul-gi-si-sa2',PN
468, '{d}szul-gi-sig-su3-tug2',PN
